"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Brazoria County, TX"	"48039"	22	362457	6.1
	"Collin County, TX"	"48085"	27	969603	2.8
	"Dallas County, TX"	"48113"	211	2618148	8.1
	"Denton County, TX"	"48121"	14	836210	Unreliable
	"Ector County, TX"	"48135"	12	157087	Unreliable
	"Ellis County, TX"	"48139"	11	173620	Unreliable
	"El Paso County, TX"	"48141"	24	840410	2.9
	"Fort Bend County, TX"	"48157"	23	764828	3.0
	"Galveston County, TX"	"48167"	19	335036	Unreliable
	"Gregg County, TX"	"48183"	12	123367	Unreliable
	"Harris County, TX"	"48201"	401	4652980	8.6
	"Hidalgo County, TX"	"48215"	36	860661	4.2
	"Jefferson County, TX"	"48245"	25	256299	9.8
	"Lubbock County, TX"	"48303"	13	305225	Unreliable
	"McLennan County, TX"	"48309"	14	251259	Unreliable
	"Montgomery County, TX"	"48339"	26	570934	4.6
	"Nueces County, TX"	"48355"	27	361221	7.5
	"Potter County, TX"	"48375"	15	120458	Unreliable
	"Smith County, TX"	"48423"	10	227727	Unreliable
	"Tarrant County, TX"	"48439"	124	2054475	6.0
	"Travis County, TX"	"48453"	39	1226698	3.2
	"Webb County, TX"	"48479"	11	274794	Unreliable
	"Wilson County, TX"	"48493"	26	49304	52.7
	"Salt Lake County, UT"	"49035"	36	1135649	3.2
	"Utah County, UT"	"49049"	11	606425	Unreliable
	"Chesterfield County, VA"	"51041"	25	343599	7.3
	"Fairfax County, VA"	"51059"	24	1148433	2.1
	"Henrico County, VA"	"51087"	31	327898	9.5
	"Prince William County, VA"	"51153"	13	463023	Unreliable
	"Chesapeake city, VA"	"51550"	14	240397	Unreliable
	"Danville city, VA"	"51590"	15	41130	Unreliable
	"Hampton city, VA"	"51650"	16	134669	Unreliable
	"Newport News city, VA"	"51700"	21	179388	11.7
	"Norfolk city, VA"	"51710"	31	244703	12.7
	"Petersburg city, VA"	"51730"	14	31750	Unreliable
	"Portsmouth city, VA"	"51740"	15	94572	Unreliable
	"Richmond city, VA"	"51760"	51	227032	22.5
	"Roanoke city, VA"	"51770"	18	99837	Unreliable
	"Virginia Beach city, VA"	"51810"	17	450435	Unreliable
	"Clark County, WA"	"53011"	16	474643	Unreliable
	"King County, WA"	"53033"	69	2188649	3.2
	"Kitsap County, WA"	"53035"	10	266414	Unreliable
	"Pierce County, WA"	"53053"	32	876764	3.6
	"Skagit County, WA"	"53057"	10	125619	Unreliable
	"Snohomish County, WA"	"53061"	18	801633	Unreliable
	"Spokane County, WA"	"53063"	18	506152	Unreliable
	"Yakima County, WA"	"53077"	29	250193	11.6
	"Berkeley County, WV"	"54003"	11	114920	Unreliable
	"Cabell County, WV"	"54011"	17	94958	Unreliable
	"Kanawha County, WV"	"54039"	16	183293	Unreliable
	"Dane County, WI"	"55025"	14	536416	Unreliable
	"Milwaukee County, WI"	"55079"	132	952085	13.9
